ID,Название трека,ID альбома,ID жанра,Длительность,Размер,Стоимость,исполнитель
52,Man In The Box,7,1,286641,9310272,"170,00",Alice In Chains
53,Sea Of Sorrow,7,1,349831,11316328,"73,00",Alice In Chains
54,Bleed The Freak,7,1,241946,7847716,"116,00",Alice In Chains
55,I Can't Remember,7,1,222955,7302550,"158,00",Alice In Chains
56,"Love, Hate, Love",7,1,387134,12575396,"160,00",Alice In Chains
57,It Ain't Like That,7,1,277577,8993793,"95,00",Alice In Chains
58,Sunshine,7,1,284969,9216057,"150,00",Alice In Chains
59,Put You Down,7,1,196231,6420530,"169,00",Alice In Chains
60,Confusion,7,1,344163,11183647,"116,00",Alice In Chains
61,I Know Somethin (Bout You),7,1,261955,8497788,"183,00",Alice In Chains
62,Real Thing,7,1,243879,7937731,"144,00",Alice In Chains
63,Desafinado,8,2,185338,5990473,"124,00",AntГґnio Carlos Jobim
64,Garota De Ipanema,8,2,285048,9348428,"74,00",AntГґnio Carlos Jobim
65,Samba De Uma Nota SГі (One Note Samba),8,2,137273,4535401,"149,00",AntГґnio Carlos Jobim
66,Por Causa De VocГЄ,8,2,169900,5536496,"195,00",AntГґnio Carlos Jobim
67,Ligia,8,2,251977,8226934,"75,00",AntГґnio Carlos Jobim
68,Fotografia,8,2,129227,4198774,"180,00",AntГґnio Carlos Jobim
69,Dindi (Dindi),8,2,253178,8149148,"157,00",AntГґnio Carlos Jobim
70,Se Todos Fossem Iguais A VocГЄ (Instrumental),8,2,134948,4393377,"80,00",AntГґnio Carlos Jobim
71,Falando De Amor,8,2,219663,7121735,"110,00",AntГґnio Carlos Jobim
72,Angela,8,2,169508,5574957,"119,00",AntГґnio Carlos Jobim
73,Corcovado (Quiet Nights Of Quiet Stars),8,2,205662,6687994,"165,00",AntГґnio Carlos Jobim
74,Outra Vez,8,2,126511,4110053,"75,00",AntГґnio Carlos Jobim
75,O Boto (BГґto),8,2,366837,12089673,"74,00",AntГґnio Carlos Jobim
76,"Canta, Canta Mais",8,2,271856,8719426,"108,00",AntГґnio Carlos Jobim
77,Enter Sandman,9,3,221701,7286305,"192,00",Apocalyptica
78,Master Of Puppets,9,3,436453,14375310,"163,00",Apocalyptica
79,Harvester Of Sorrow,9,3,374543,12372536,"142,00",Apocalyptica
80,The Unforgiven,9,3,322925,10422447,"94,00",Apocalyptica
81,Sad But True,9,3,288208,9405526,"142,00",Apocalyptica
82,Creeping Death,9,3,308035,10110980,"56,00",Apocalyptica
83,Wherever I May Roam,9,3,369345,12033110,"188,00",Apocalyptica
84,Welcome Home (Sanitarium),9,3,350197,11406431,"186,00",Apocalyptica
85,Cochise,10,1,222380,5339931,"102,00",Audioslave
86,Show Me How to Live,10,1,277890,6672176,"163,00",Audioslave
87,Gasoline,10,1,279457,6709793,"107,00",Audioslave
88,What You Are,10,1,249391,5988186,"188,00",Audioslave
89,Like a Stone,10,1,294034,7059624,"144,00",Audioslave
90,Set It Off,10,1,263262,6321091,"198,00",Audioslave
91,Shadow on the Sun,10,1,343457,8245793,"124,00",Audioslave
92,I am the Highway,10,1,334942,8041411,"112,00",Audioslave
93,Exploder,10,1,206053,4948095,"178,00",Audioslave
94,Hypnotize,10,1,206628,4961887,"152,00",Audioslave
95,Bring'em Back Alive,10,1,329534,7911634,"88,00",Audioslave
96,Light My Way,10,1,303595,7289084,"127,00",Audioslave
97,Getaway Car,10,1,299598,7193162,"186,00",Audioslave
98,The Last Remaining Light,10,1,317492,7622615,"79,00",Audioslave
99,Your Time Has Come,11,4,255529,8273592,"50,00",Audioslave
100,Out Of Exile,11,4,291291,9506571,"141,00",Audioslave
101,Be Yourself,11,4,279484,9106160,"54,00",Audioslave
102,Doesn't Remind Me,11,4,255869,8357387,"178,00",Audioslave
103,Drown Me Slowly,11,4,233691,7609178,"98,00",Audioslave
104,Heaven's Dead,11,4,276688,9006158,"129,00",Audioslave
105,The Worm,11,4,237714,7710800,"167,00",Audioslave
106,Man Or Animal,11,4,233195,7542942,"79,00",Audioslave
107,Yesterday To Tomorrow,11,4,273763,8944205,"56,00",Audioslave
108,Dandelion,11,4,278125,9003592,"52,00",Audioslave
109,#1 Zero,11,4,299102,9731988,"64,00",Audioslave
110,The Curse,11,4,309786,10029406,"74,00",Audioslave
111,Money,12,5,147591,2365897,"95,00",BackBeat
112,Long Tall Sally,12,5,106396,1707084,"61,00",BackBeat
113,Bad Boy,12,5,116088,1862126,"75,00",BackBeat
114,Twist And Shout,12,5,161123,2582553,"94,00",BackBeat
115,Please Mr. Postman,12,5,137639,2206986,"136,00",BackBeat
116,C'Mon Everybody,12,5,140199,2247846,"73,00",BackBeat
117,Rock 'N' Roll Music,12,5,141923,2276788,"157,00",BackBeat
118,Slow Down,12,5,163265,2616981,"102,00",BackBeat
119,Roadrunner,12,5,143595,2301989,"80,00",BackBeat
120,Carol,12,5,143830,2306019,"90,00",BackBeat
121,Good Golly Miss Molly,12,5,106266,1704918,"150,00",BackBeat
122,20 Flight Rock,12,5,107807,1299960,"117,00",BackBeat
123,Quadrant,13,2,261851,8538199,"108,00",Billy Cobham
124,Snoopy's search-Red baron,13,2,456071,15075616,"113,00",Billy Cobham
125,"Spanish moss-""A sound portrait""-Spanish moss",13,2,248084,8217867,"184,00",Billy Cobham
126,Moon germs,13,2,294060,9714812,"117,00",Billy Cobham
127,Stratus,13,2,582086,19115680,"123,00",Billy Cobham
128,The pleasant pheasant,13,2,318066,10630578,"115,00",Billy Cobham
129,Solo-Panhandler,13,2,246151,8230661,"64,00",Billy Cobham
130,Do what cha wanna,13,2,274155,9018565,"163,00",Billy Cobham
131,Intro/ Low Down,14,3,323683,10642901,"156,00",Black Label Society
132,13 Years Of Grief,14,3,246987,8137421,"66,00",Black Label Society
133,Stronger Than Death,14,3,300747,9869647,"126,00",Black Label Society
134,All For You,14,3,235833,7726948,"117,00",Black Label Society
135,Super Terrorizer,14,3,319373,10513905,"70,00",Black Label Society
136,Phoney Smile Fake Hellos,14,3,273606,9011701,"64,00",Black Label Society
137,Lost My Better Half,14,3,284081,9355309,"137,00",Black Label Society
138,Bored To Tears,14,3,247327,8130090,"51,00",Black Label Society
139,A.N.D.R.O.T.A.Z.,14,3,266266,8574746,"190,00",Black Label Society
140,Born To Booze,14,3,282122,9257358,"166,00",Black Label Society
141,World Of Trouble,14,3,359157,11820932,"114,00",Black Label Society
142,No More Tears,14,3,555075,18041629,"88,00",Black Label Society
143,The Begining... At Last,14,3,365662,11965109,"125,00",Black Label Society
144,Heart Of Gold,15,3,194873,6417460,"111,00",Black Label Society
145,Snowblind,15,3,420022,13842549,"127,00",Black Label Society
146,Like A Bird,15,3,276532,9115657,"181,00",Black Label Society
147,Blood In The Wall,15,3,284368,9359475,"171,00",Black Label Society
148,The Beginning...At Last,15,3,271960,8975814,"163,00",Black Label Society
149,Black Sabbath,16,3,382066,12440200,"125,00",Black Sabbath
150,The Wizard,16,3,264829,8646737,"123,00",Black Sabbath
151,Behind The Wall Of Sleep,16,3,217573,7169049,"122,00",Black Sabbath
152,N.I.B.,16,3,368770,12029390,"183,00",Black Sabbath
153,Evil Woman,16,3,204930,6655170,"154,00",Black Sabbath
154,Sleeping Village,16,3,644571,21128525,"54,00",Black Sabbath
155,Warning,16,3,212062,6893363,"103,00",Black Sabbath
156,Wheels Of Confusion / The Straightener,17,3,494524,16065830,"51,00",Black Sabbath
157,Tomorrow's Dream,17,3,192496,6252071,"135,00",Black Sabbath
158,Changes,17,3,286275,9175517,"129,00",Black Sabbath
159,FX,17,3,103157,3331776,"85,00",Black Sabbath
160,Supernaut,17,3,285779,9245971,"164,00",Black Sabbath
161,Snowblind,17,3,331676,10813386,"169,00",Black Sabbath
162,Cornucopia,17,3,234814,7653880,"96,00",Black Sabbath
163,Laguna Sunrise,17,3,173087,5671374,"133,00",Black Sabbath
164,St. Vitus Dance,17,3,149655,4884969,"78,00",Black Sabbath
165,Under The Sun/Every Day Comes and Goes,17,3,350458,11360486,"137,00",Black Sabbath
166,Smoked Pork,18,4,47333,1549074,"121,00",Body Count
167,Body Count's In The House,18,4,204251,6715413,"112,00",Body Count
168,Now Sports,18,4,4884,161266,"95,00",Body Count
169,Body Count,18,4,317936,10489139,"111,00",Body Count
170,A Statistic,18,4,6373,211997,"118,00",Body Count
171,Bowels Of The Devil,18,4,223216,7324125,"95,00",Body Count
172,The Real Problem,18,4,11650,387360,"128,00",Body Count
173,KKK Bitch,18,4,173008,5709631,"98,00",Body Count
174,D Note,18,4,95738,3067064,"123,00",Body Count
175,Voodoo,18,4,300721,9875962,"145,00",Body Count
176,The Winner Loses,18,4,392254,12843821,"176,00",Body Count
177,There Goes The Neighborhood,18,4,350171,11443471,"155,00",Body Count
178,Oprah,18,4,6635,224313,"194,00",Body Count
179,Evil Dick,18,4,239020,7828873,"178,00",Body Count
180,Body Count Anthem,18,4,166426,5463690,"110,00",Body Count
181,Momma's Gotta Die Tonight,18,4,371539,12122946,"197,00",Body Count
182,Freedom Of Speech,18,4,281234,9337917,"54,00",Body Count
183,King In Crimson,19,3,283167,9218499,"133,00",Bruce Dickinson
184,Chemical Wedding,19,3,246177,8022764,"87,00",Bruce Dickinson
185,The Tower,19,3,285257,9435693,"51,00",Bruce Dickinson
186,Killing Floor,19,3,269557,8854240,"185,00",Bruce Dickinson
187,Book Of Thel,19,3,494393,16034404,"124,00",Bruce Dickinson
188,Gates Of Urizen,19,3,265351,8627004,"69,00",Bruce Dickinson
189,Jerusalem,19,3,402390,13194463,"153,00",Bruce Dickinson
190,Trupets Of Jericho,19,3,359131,11820908,"118,00",Bruce Dickinson
191,Machine Men,19,3,341655,11138147,"64,00",Bruce Dickinson
192,The Alchemist,19,3,509413,16545657,"96,00",Bruce Dickinson
193,Realword,19,3,237531,7802095,"79,00",Bruce Dickinson
194,First Time I Met The Blues,20,6,140434,4604995,"77,00",Buddy Guy
195,Let Me Love You Baby,20,6,175386,5716994,"81,00",Buddy Guy
196,Stone Crazy,20,6,433397,14184984,"100,00",Buddy Guy
197,Pretty Baby,20,6,237662,7848282,"65,00",Buddy Guy
198,When My Left Eye Jumps,20,6,235311,7685363,"100,00",Buddy Guy
199,Leave My Girl Alone,20,6,204721,6859518,"147,00",Buddy Guy
200,She Suits Me To A Tee,20,6,136803,4456321,"148,00",Buddy Guy
201,Keep It To Myself (Aka Keep It To Yourself),20,6,166060,5487056,"151,00",Buddy Guy
202,My Time After Awhile,20,6,182491,6022698,"86,00",Buddy Guy
203,Too Many Ways (Alternate),20,6,135053,4459946,"139,00",Buddy Guy
204,Talkin' 'Bout Women Obviously,20,6,589531,19161377,"95,00",Buddy Guy
205,Jorge Da CapadГіcia,21,7,177397,5842196,"172,00",Caetano Veloso
206,Prenda Minha,21,7,99369,3225364,"109,00",Caetano Veloso
207,MeditaГ§ГЈo,21,7,148793,4865597,"98,00",Caetano Veloso
208,Terra,21,7,482429,15889054,"116,00",Caetano Veloso
209,Eclipse Oculto,21,7,221936,7382703,"106,00",Caetano Veloso
210,"Texto ""Verdade Tropical""",21,7,84088,2752161,"161,00",Caetano Veloso
211,Bem Devagar,21,7,133172,4333651,"196,00",Caetano Veloso
212,DrГЈo,21,7,156264,5065932,"107,00",Caetano Veloso
213,Saudosismo,21,7,144326,4726981,"158,00",Caetano Veloso
214,Carolina,21,7,181812,5924159,"166,00",Caetano Veloso
215,Sozinho,21,7,190589,6253200,"200,00",Caetano Veloso
216,Esse Cara,21,7,223111,7217126,"182,00",Caetano Veloso
217,Mel,21,7,294765,9854062,"140,00",Caetano Veloso
218,Linha Do Equador,21,7,299337,10003747,"195,00",Caetano Veloso
219,Odara,21,7,141270,4704104,"93,00",Caetano Veloso
220,A Luz De Tieta,21,7,251742,8507446,"104,00",Caetano Veloso
221,AtrГЎs Da Verd-E-Rosa SГі NГЈo Vai Quem JГЎ Morreu,21,7,307252,10364247,"148,00",Caetano Veloso
222,Vida Boa,21,7,281730,9411272,"136,00",Caetano Veloso
223,Sozinho (Hitmakers Classic Mix),22,7,436636,14462072,"77,00",Caetano Veloso
224,Sozinho (Hitmakers Classic Radio Edit),22,7,195004,6455134,"68,00",Caetano Veloso
225,Sozinho (CaГЄdrum 'n' Bass),22,7,328071,10975007,"155,00",Caetano Veloso
226,Carolina,23,7,163056,5375395,"114,00",Chico Buarque
227,Essa MoГ§a Ta Diferente,23,7,167235,5568574,"113,00",Chico Buarque
228,Vai Passar,23,7,369763,12359161,"165,00",Chico Buarque
229,Samba De Orly,23,7,162429,5431854,"69,00",Chico Buarque
230,"Bye, Bye Brasil",23,7,283402,9499590,"149,00",Chico Buarque
231,Atras Da Porta,23,7,189675,6132843,"108,00",Chico Buarque
232,Tatuagem,23,7,172120,5645703,"183,00",Chico Buarque
233,O Que SerГЎ (ГЂ Flor Da Terra),23,7,167288,5574848,"102,00",Chico Buarque
234,Morena De Angola,23,7,186801,6373932,"156,00",Chico Buarque
235,Apesar De VocГЄ,23,7,234501,7886937,"89,00",Chico Buarque
236,A Banda,23,7,132493,4349539,"102,00",Chico Buarque
237,Minha Historia,23,7,182256,6029673,"78,00",Chico Buarque
238,Com AГ§Гєcar E Com Afeto,23,7,175386,5846442,"161,00",Chico Buarque
239,Brejo Da Cruz,23,7,214099,7270749,"99,00",Chico Buarque
240,Meu Caro Amigo,23,7,260257,8778172,"148,00",Chico Buarque
241,Geni E O Zepelim,23,7,317570,10342226,"93,00",Chico Buarque
242,Trocando Em MiГєdos,23,7,169717,5461468,"97,00",Chico Buarque
243,Vai Trabalhar Vagabundo,23,7,139154,4693941,"158,00",Chico Buarque
244,Gota D'ГЎgua,23,7,153208,5074189,"158,00",Chico Buarque
245,ConstruГ§ГЈo / Deus Lhe Pague,23,7,383059,12675305,"165,00",Chico Buarque
246,Mateus Enter,24,7,33149,1103013,"175,00",Chico Science & NaГ§ГЈo Zumbi
247,O CidadГЈo Do Mundo,24,7,200933,6724966,"136,00",Chico Science & NaГ§ГЈo Zumbi
248,Etnia,24,7,152555,5061413,"103,00",Chico Science & NaГ§ГЈo Zumbi
249,Quilombo Groove [Instrumental],24,7,151823,5042447,"188,00",Chico Science & NaГ§ГЈo Zumbi
250,MacГґ,24,7,249600,8253934,"64,00",Chico Science & NaГ§ГЈo Zumbi
251,Um Passeio No Mundo Livre,24,7,240091,7984291,"171,00",Chico Science & NaГ§ГЈo Zumbi
252,Samba Do Lado,24,7,227317,7541688,"120,00",Chico Science & NaГ§ГЈo Zumbi
253,Maracatu AtГґmico,24,7,284264,9670057,"101,00",Chico Science & NaГ§ГЈo Zumbi
254,O Encontro De Isaac Asimov Com Santos Dumont No CГ©u,24,7,99108,3240816,"171,00",Chico Science & NaГ§ГЈo Zumbi
255,Corpo De Lama,24,7,232672,7714954,"71,00",Chico Science & NaГ§ГЈo Zumbi
256,Sobremesa,24,7,240091,7960868,"156,00",Chico Science & NaГ§ГЈo Zumbi
257,Manguetown,24,7,194560,6475159,"113,00",Chico Science & NaГ§ГЈo Zumbi
258,Um SatГ©lite Na CabeГ§a,24,7,126615,4272821,"91,00",Chico Science & NaГ§ГЈo Zumbi
259,BaiГЈo Ambiental [Instrumental],24,7,152659,5198539,"74,00",Chico Science & NaГ§ГЈo Zumbi
260,Sangue De Bairro,24,7,132231,4415557,"171,00",Chico Science & NaГ§ГЈo Zumbi
261,Enquanto O Mundo Explode,24,7,88764,2968650,"114,00",Chico Science & NaГ§ГЈo Zumbi
262,Interlude Zumbi,24,7,71627,2408550,"161,00",Chico Science & NaГ§ГЈo Zumbi
263,CrianГ§a De Domingo,24,7,208222,6984813,"105,00",Chico Science & NaГ§ГЈo Zumbi
264,Amor De Muito,24,7,175333,5881293,"173,00",Chico Science & NaГ§ГЈo Zumbi
265,Samidarish [Instrumental],24,7,272431,8911641,"178,00",Chico Science & NaГ§ГЈo Zumbi
266,Maracatu AtГґmico [Atomic Version],24,7,273084,9019677,"89,00",Chico Science & NaГ§ГЈo Zumbi
267,Maracatu AtГґmico [Ragga Mix],24,7,210155,6986421,"92,00",Chico Science & NaГ§ГЈo Zumbi
268,Maracatu AtГґmico [Trip Hop],24,7,221492,7380787,"177,00",Chico Science & NaГ§ГЈo Zumbi
269,Banditismo Por Uma Questa,25,7,307095,10251097,"116,00",Chico Science & NaГ§ГЈo Zumbi
270,Banditismo Por Uma Questa,25,7,243644,8147224,"99,00",Chico Science & NaГ§ГЈo Zumbi
271,Rios Pontes & Overdrives,25,7,286720,9659152,"55,00",Chico Science & NaГ§ГЈo Zumbi
272,Cidade,25,7,216346,7241817,"92,00",Chico Science & NaГ§ГЈo Zumbi
273,Praiera,25,7,183640,6172781,"68,00",Chico Science & NaГ§ГЈo Zumbi
274,Samba Makossa,25,7,271856,9095410,"112,00",Chico Science & NaГ§ГЈo Zumbi
275,Da Lama Ao Caos,25,7,251559,8378065,"71,00",Chico Science & NaГ§ГЈo Zumbi
276,Maracatu De Tiro Certeiro,25,7,88868,2901397,"163,00",Chico Science & NaГ§ГЈo Zumbi
277,Salustiano Song,25,7,215405,7183969,"140,00",Chico Science & NaГ§ГЈo Zumbi
278,Antene Se,25,7,248372,8253618,"87,00",Chico Science & NaГ§ГЈo Zumbi
279,Risoflora,25,7,105586,3536938,"86,00",Chico Science & NaГ§ГЈo Zumbi
280,Lixo Do Mangue,25,7,193253,6534200,"130,00",Chico Science & NaГ§ГЈo Zumbi
281,Computadores Fazem Arte,25,7,404323,13702771,"147,00",Chico Science & NaГ§ГЈo Zumbi
282,Girassol,26,8,249808,8327676,"158,00",Cidade Negra
283,A Sombra Da Maldade,26,8,230922,7697230,"181,00",Cidade Negra
284,Johnny B. Goode,26,8,254615,8505985,"126,00",Cidade Negra
285,Soldado Da Paz,26,8,194220,6455080,"160,00",Cidade Negra
286,Firmamento,26,8,222145,7402658,"138,00",Cidade Negra
287,Extra,26,8,304352,10078050,"185,00",Cidade Negra
288,O ErГЄ,26,8,236382,7866924,"181,00",Cidade Negra
289,Podes Crer,26,8,232280,7747747,"125,00",Cidade Negra
290,A Estrada,26,8,248842,8275673,"186,00",Cidade Negra
291,Berlim,26,8,207542,6920424,"165,00",Cidade Negra
292,JГЎ Foi,26,8,221544,7388466,"196,00",Cidade Negra
293,Onde VocГЄ Mora?,26,8,256026,8502588,"148,00",Cidade Negra
294,Pensamento,26,8,173008,5748424,"192,00",Cidade Negra
295,ConciliaГ§ГЈo,26,8,257619,8552474,"113,00",Cidade Negra
296,Realidade Virtual,26,8,195239,6503533,"161,00",Cidade Negra
297,Mensagem,26,8,225332,7488852,"75,00",Cidade Negra
298,A Cor Do Sol,26,8,231392,7663348,"111,00",Cidade Negra
299,Onde VocГЄ Mora?,27,8,298396,10056970,"140,00",Cidade Negra
300,O ErГЄ,27,8,206942,6950332,"87,00",Cidade Negra
301,A Sombra Da Maldade,27,8,285231,9544383,"74,00",Cidade Negra
302,A Estrada,27,8,282174,9344477,"138,00",Cidade Negra
303,Falar A Verdade,27,8,244950,8189093,"199,00",Cidade Negra
304,Firmamento,27,8,225488,7507866,"193,00",Cidade Negra
305,Pensamento,27,8,192391,6399761,"176,00",Cidade Negra
306,Realidade Virtual,27,8,240300,8069934,"122,00",Cidade Negra
307,Doutor,27,8,178155,5950952,"65,00",Cidade Negra
308,Na Frente Da TV,27,8,289750,9633659,"128,00",Cidade Negra
309,Downtown,27,8,239725,8024386,"96,00",Cidade Negra
310,SГЎbado A Noite,27,8,267363,8895073,"162,00",Cidade Negra
311,A Cor Do Sol,27,8,273031,9142937,"137,00",Cidade Negra
312,Eu TambГ©m Quero Beijar,27,8,211147,7029400,"60,00",Cidade Negra
313,Noite Do Prazer,28,7,311353,10309980,"78,00",Claudio Zoli
314,ГЂ Francesa,28,7,244532,8150846,"147,00",Claudio Zoli
315,Cada Um Cada Um (A Namoradeira),28,7,253492,8441034,"61,00",Claudio Zoli
316,Linha Do Equador,28,7,244715,8123466,"193,00",Claudio Zoli
317,Amor Demais,28,7,254040,8420093,"67,00",Claudio Zoli
318,FГ©rias,28,7,264202,8731945,"103,00",Claudio Zoli
319,Gostava Tanto De VocГЄ,28,7,230452,7685326,"59,00",Claudio Zoli
320,Flor Do Futuro,28,7,275748,9205941,"76,00",Claudio Zoli
321,Felicidade Urgente,28,7,266605,8873358,"60,00",Claudio Zoli
322,Livre Pra Viver,28,7,214595,7111596,"58,00",Claudio Zoli
323,"Dig-Dig, Lambe-Lambe (Ao Vivo)",29,9,205479,6892516,"108,00",Various Artists
324,PererГЄ,29,9,198661,6643207,"56,00",Various Artists
325,TriboTchan,29,9,194194,6507950,"100,00",Various Artists
326,"Tapa Aqui, Descobre Ali",29,9,188630,6327391,"96,00",Various Artists
327,Daniela,29,9,230791,7748006,"153,00",Various Artists
328,Bate Lata,29,9,206733,7034985,"196,00",Various Artists
329,Garotas do Brasil,29,9,210155,6973625,"82,00",Various Artists
330,Levada do Amor (Ailoviu),29,9,190093,6457752,"91,00",Various Artists
331,Lavadeira,29,9,214256,7254147,"168,00",Various Artists
332,Reboladeira,29,9,210599,7027525,"55,00",Various Artists
333,Г‰ que Nessa EncarnaГ§ГЈo Eu Nasci Manga,29,9,196519,6568081,"50,00",Various Artists
334,Reggae Tchan,29,9,206654,6931328,"193,00",Various Artists
335,My Love,29,9,203493,6772813,"73,00",Various Artists
336,Latinha de Cerveja,29,9,166687,5532564,"74,00",Various Artists
337,You Shook Me,30,1,315951,10249958,"88,00",Led Zeppelin
338,I Can't Quit You Baby,30,1,263836,8581414,"65,00",Led Zeppelin
339,Communication Breakdown,30,1,192653,6287257,"195,00",Led Zeppelin
340,Dazed and Confused,30,1,401920,13035765,"147,00",Led Zeppelin
341,The Girl I Love She Got Long Black Wavy Hair,30,1,183327,5995686,"114,00",Led Zeppelin
342,What is and Should Never Be,30,1,260675,8497116,"196,00",Led Zeppelin
343,Communication Breakdown(2),30,1,161149,5261022,"183,00",Led Zeppelin
344,Travelling Riverside Blues,30,1,312032,10232581,"128,00",Led Zeppelin
345,Whole Lotta Love,30,1,373394,12258175,"69,00",Led Zeppelin
346,Somethin' Else,30,1,127869,4165650,"101,00",Led Zeppelin
347,Communication Breakdown(3),30,1,185260,6041133,"77,00",Led Zeppelin
348,I Can't Quit You Baby(2),30,1,380551,12377615,"129,00",Led Zeppelin
349,You Shook Me(2),30,1,619467,20138673,"79,00",Led Zeppelin
350,How Many More Times,30,1,711836,23092953,"139,00",Led Zeppelin
351,Debra Kadabra,31,1,234553,7649679,"193,00",Frank Zappa & Captain Beefheart
352,Carolina Hard-Core Ecstasy,31,1,359680,11731061,"130,00",Frank Zappa & Captain Beefheart
353,Sam With The Showing Scalp Flat Top,31,1,171284,5572993,"193,00",Frank Zappa & Captain Beefheart
354,Poofter's Froth Wyoming Plans Ahead,31,1,183902,6007019,"186,00",Frank Zappa & Captain Beefheart
355,200 Years Old,31,1,272561,8912465,"138,00",Frank Zappa & Captain Beefheart
356,Cucamonga,31,1,144483,4728586,"177,00",Frank Zappa & Captain Beefheart
357,Advance Romance,31,1,677694,22080051,"183,00",Frank Zappa & Captain Beefheart
358,Man With The Woman Head,31,1,88894,2922044,"73,00",Frank Zappa & Captain Beefheart
359,Muffin Man,31,1,332878,10891682,"193,00",Frank Zappa & Captain Beefheart
360,Vai-Vai 2001,32,10,276349,9402241,"162,00",Various Artists
361,X-9 2001,32,10,273920,9310370,"80,00",Various Artists
362,Gavioes 2001,32,10,282723,9616640,"154,00",Various Artists
363,Nene 2001,32,10,284969,9694508,"179,00",Various Artists
364,Rosas De Ouro 2001,32,10,284342,9721084,"86,00",Various Artists
365,Mocidade Alegre 2001,32,10,282488,9599937,"56,00",Various Artists
366,Camisa Verde 2001,32,10,283454,9633755,"64,00",Various Artists
367,Leandro De Itaquera 2001,32,10,274808,9451845,"136,00",Various Artists
368,Tucuruvi 2001,32,10,287921,9883335,"107,00",Various Artists
369,Aguia De Ouro 2001,32,10,284160,9698729,"75,00",Various Artists
370,Ipiranga 2001,32,10,248293,8522591,"98,00",Various Artists
371,Morro Da Casa Verde 2001,32,10,284708,9718778,"102,00",Various Artists
372,Perola Negra 2001,32,10,281626,9619196,"171,00",Various Artists
373,Sao Lucas 2001,32,10,296254,10020122,"67,00",Various Artists
374,Guanabara,33,7,247614,8499591,"181,00",Marcos Valle
375,Mas Que Nada,33,7,248398,8255254,"106,00",Marcos Valle
