ID;Название трека;ID альбома;ID жанра;Длительность;Размер;Стоимость;исполнитель
233;O Que SerГЎ (ГЂ Flor Da Terra);23;7;167288;5574848;102,00;17
234;Morena De Angola;23;7;186801;6373932;156,00;17
235;Apesar De VocГЄ;23;7;234501;7886937;89,00;17
236;A Banda;23;7;132493;4349539;102,00;17
237;Minha Historia;23;7;182256;6029673;78,00;17
238;Com AГ§Гєcar E Com Afeto;23;7;175386;5846442;161,00;17
239;Brejo Da Cruz;23;7;214099;7270749;99,00;17
240;Meu Caro Amigo;23;7;260257;8778172;148,00;17
241;Geni E O Zepelim;23;7;317570;10342226;93,00;17
242;Trocando Em MiГєdos;23;7;169717;5461468;97,00;17
243;Vai Trabalhar Vagabundo;23;7;139154;4693941;158,00;17
244;Gota D'ГЎgua;23;7;153208;5074189;158,00;17
245;ConstruГ§ГЈo / Deus Lhe Pague;23;7;383059;12675305;165,00;17
246;Mateus Enter;24;7;33149;1103013;175,00;18
247;O CidadГЈo Do Mundo;24;7;200933;6724966;136,00;18
248;Etnia;24;7;152555;5061413;103,00;18
249;Quilombo Groove [Instrumental];24;7;151823;5042447;188,00;18
250;MacГґ;24;7;249600;8253934;64,00;18
251;Um Passeio No Mundo Livre;24;7;240091;7984291;171,00;18
252;Samba Do Lado;24;7;227317;7541688;120,00;18
253;Maracatu AtГґmico;24;7;284264;9670057;101,00;18
254;O Encontro De Isaac Asimov Com Santos Dumont No CГ©u;24;7;99108;3240816;171,00;18
255;Corpo De Lama;24;7;232672;7714954;71,00;18
256;Sobremesa;24;7;240091;7960868;156,00;18
257;Manguetown;24;7;194560;6475159;113,00;18
258;Um SatГ©lite Na CabeГ§a;24;7;126615;4272821;91,00;18
259;BaiГЈo Ambiental [Instrumental];24;7;152659;5198539;74,00;18
260;Sangue De Bairro;24;7;132231;4415557;171,00;18
261;Enquanto O Mundo Explode;24;7;88764;2968650;114,00;18
262;Interlude Zumbi;24;7;71627;2408550;161,00;18
263;CrianГ§a De Domingo;24;7;208222;6984813;105,00;18
264;Amor De Muito;24;7;175333;5881293;173,00;18
265;Samidarish [Instrumental];24;7;272431;8911641;178,00;18
266;Maracatu AtГґmico [Atomic Version];24;7;273084;9019677;89,00;18
267;Maracatu AtГґmico [Ragga Mix];24;7;210155;6986421;92,00;18
268;Maracatu AtГґmico [Trip Hop];24;7;221492;7380787;177,00;18
269;Banditismo Por Uma Questa;25;7;307095;10251097;116,00;18
270;Banditismo Por Uma Questa;25;7;243644;8147224;99,00;18
271;Rios Pontes & Overdrives;25;7;286720;9659152;55,00;18
272;Cidade;25;7;216346;7241817;92,00;18
273;Praiera;25;7;183640;6172781;68,00;18
274;Samba Makossa;25;7;271856;9095410;112,00;18
275;Da Lama Ao Caos;25;7;251559;8378065;71,00;18
276;Maracatu De Tiro Certeiro;25;7;88868;2901397;163,00;18
277;Salustiano Song;25;7;215405;7183969;140,00;18
278;Antene Se;25;7;248372;8253618;87,00;18
279;Risoflora;25;7;105586;3536938;86,00;18
280;Lixo Do Mangue;25;7;193253;6534200;130,00;18
281;Computadores Fazem Arte;25;7;404323;13702771;147,00;18
282;Girassol;26;8;249808;8327676;158,00;19
283;A Sombra Da Maldade;26;8;230922;7697230;181,00;19
284;Johnny B. Goode;26;8;254615;8505985;126,00;19
285;Soldado Da Paz;26;8;194220;6455080;160,00;19
286;Firmamento;26;8;222145;7402658;138,00;19
287;Extra;26;8;304352;10078050;185,00;19
288;O ErГЄ;26;8;236382;7866924;181,00;19
289;Podes Crer;26;8;232280;7747747;125,00;19
290;A Estrada;26;8;248842;8275673;186,00;19
291;Berlim;26;8;207542;6920424;165,00;19
292;JГЎ Foi;26;8;221544;7388466;196,00;19
293;Onde VocГЄ Mora?;26;8;256026;8502588;148,00;19
294;Pensamento;26;8;173008;5748424;192,00;19
295;ConciliaГ§ГЈo;26;8;257619;8552474;113,00;19
296;Realidade Virtual;26;8;195239;6503533;161,00;19
297;Mensagem;26;8;225332;7488852;75,00;19
298;A Cor Do Sol;26;8;231392;7663348;111,00;19
299;Onde VocГЄ Mora?;27;8;298396;10056970;140,00;19
300;O ErГЄ;27;8;206942;6950332;87,00;19
301;A Sombra Da Maldade;27;8;285231;9544383;74,00;19
302;A Estrada;27;8;282174;9344477;138,00;19
303;Falar A Verdade;27;8;244950;8189093;199,00;19
304;Firmamento;27;8;225488;7507866;193,00;19
305;Pensamento;27;8;192391;6399761;176,00;19
306;Realidade Virtual;27;8;240300;8069934;122,00;19
307;Doutor;27;8;178155;5950952;65,00;19
308;Na Frente Da TV;27;8;289750;9633659;128,00;19
309;Downtown;27;8;239725;8024386;96,00;19
310;SГЎbado A Noite;27;8;267363;8895073;162,00;19
311;A Cor Do Sol;27;8;273031;9142937;137,00;19
312;Eu TambГ©m Quero Beijar;27;8;211147;7029400;60,00;19
313;Noite Do Prazer;28;7;311353;10309980;78,00;20
314;ГЂ Francesa;28;7;244532;8150846;147,00;20
315;Cada Um Cada Um (A Namoradeira);28;7;253492;8441034;61,00;20
316;Linha Do Equador;28;7;244715;8123466;193,00;20
317;Amor Demais;28;7;254040;8420093;67,00;20
318;FГ©rias;28;7;264202;8731945;103,00;20
319;Gostava Tanto De VocГЄ;28;7;230452;7685326;59,00;20
320;Flor Do Futuro;28;7;275748;9205941;76,00;20
321;Felicidade Urgente;28;7;266605;8873358;60,00;20
322;Livre Pra Viver;28;7;214595;7111596;58,00;20
323;Dig-Dig, Lambe-Lambe (Ao Vivo);29;9;205479;6892516;108,00;21
324;PererГЄ;29;9;198661;6643207;56,00;21
325;TriboTchan;29;9;194194;6507950;100,00;21
326;Tapa Aqui, Descobre Ali;29;9;188630;6327391;96,00;21
327;Daniela;29;9;230791;7748006;153,00;21
328;Bate Lata;29;9;206733;7034985;196,00;21
329;Garotas do Brasil;29;9;210155;6973625;82,00;21
330;Levada do Amor (Ailoviu);29;9;190093;6457752;91,00;21
331;Lavadeira;29;9;214256;7254147;168,00;21
332;Reboladeira;29;9;210599;7027525;55,00;21
333;Г‰ que Nessa EncarnaГ§ГЈo Eu Nasci Manga;29;9;196519;6568081;50,00;21
334;Reggae Tchan;29;9;206654;6931328;193,00;21
335;My Love;29;9;203493;6772813;73,00;21
336;Latinha de Cerveja;29;9;166687;5532564;74,00;21
337;You Shook Me;30;1;315951;10249958;88,00;22
338;I Can't Quit You Baby;30;1;263836;8581414;65,00;22
339;Communication Breakdown;30;1;192653;6287257;195,00;22
340;Dazed and Confused;30;1;401920;13035765;147,00;22
341;The Girl I Love She Got Long Black Wavy Hair;30;1;183327;5995686;114,00;22
342;What is and Should Never Be;30;1;260675;8497116;196,00;22
343;Communication Breakdown(2);30;1;161149;5261022;183,00;22
344;Travelling Riverside Blues;30;1;312032;10232581;128,00;22
345;Whole Lotta Love;30;1;373394;12258175;69,00;22
346;Somethin' Else;30;1;127869;4165650;101,00;22
347;Communication Breakdown(3);30;1;185260;6041133;77,00;22
348;I Can't Quit You Baby(2);30;1;380551;12377615;129,00;22
349;You Shook Me(2);30;1;619467;20138673;79,00;22
350;How Many More Times;30;1;711836;23092953;139,00;22
351;Debra Kadabra;31;1;234553;7649679;193,00;23
352;Carolina Hard-Core Ecstasy;31;1;359680;11731061;130,00;23
353;Sam With The Showing Scalp Flat Top;31;1;171284;5572993;193,00;23
354;Poofter's Froth Wyoming Plans Ahead;31;1;183902;6007019;186,00;23
355;200 Years Old;31;1;272561;8912465;138,00;23
356;Cucamonga;31;1;144483;4728586;177,00;23
357;Advance Romance;31;1;677694;22080051;183,00;23
358;Man With The Woman Head;31;1;88894;2922044;73,00;23
359;Muffin Man;31;1;332878;10891682;193,00;23
360;Vai-Vai 2001;32;10;276349;9402241;162,00;21
361;X-9 2001;32;10;273920;9310370;80,00;21
362;Gavioes 2001;32;10;282723;9616640;154,00;21
363;Nene 2001;32;10;284969;9694508;179,00;21
364;Rosas De Ouro 2001;32;10;284342;9721084;86,00;21
365;Mocidade Alegre 2001;32;10;282488;9599937;56,00;21
366;Camisa Verde 2001;32;10;283454;9633755;64,00;21
367;Leandro De Itaquera 2001;32;10;274808;9451845;136,00;21
368;Tucuruvi 2001;32;10;287921;9883335;107,00;21
369;Aguia De Ouro 2001;32;10;284160;9698729;75,00;21
370;Ipiranga 2001;32;10;248293;8522591;98,00;21
371;Morro Da Casa Verde 2001;32;10;284708;9718778;102,00;21
372;Perola Negra 2001;32;10;281626;9619196;171,00;21
373;Sao Lucas 2001;32;10;296254;10020122;67,00;21
374;Guanabara;33;7;247614;8499591;181,00;24
375;Mas Que Nada;33;7;248398;8255254;106,00;24
376;VГґo Sobre o Horizonte;33;7;225097;7528825;132,00;24
377;A Paz;33;7;263183;8619173;71,00;24
378;Wave (Vou te Contar);33;7;271647;9057557;63,00;24
379;ГЃgua de Beber;33;7;146677;4866476;111,00;24
380;Samba da BenГ§aco;33;7;282200;9440676;98,00;24
381;Pode Parar;33;7;179408;6046678;83,00;24
382;Menino do Rio;33;7;262713;8737489;102,00;24
383;Ando Meio Desligado;33;7;195813;6547648;65,00;24
384;MistГ©rio da RaГ§a;33;7;184320;6191752;189,00;24
385;All Star;33;7;176326;5891697;67,00;24
386;Menina Bonita;33;7;237087;7938246;113,00;24
387;Pescador de IlusГµes;33;7;245524;8267067;131,00;24
388;ГЂ Vontade (Live Mix);33;7;180636;5972430;192,00;24
389;Maria FumaГ§a;33;7;141008;4743149;107,00;24
390;Sambassim (dj patife remix);33;7;213655;7243166;191,00;24
391;Garota De Ipanema;34;7;279536;9141343;160,00;6
392;Tim Tim Por Tim Tim;34;7;213237;7143328;139,00;6
393;Tarde Em ItapoГЈ;34;7;313704;10344491;98,00;6
394;Tanto Tempo;34;7;170292;5572240;70,00;6
395;Eu Vim Da Bahia - Live;34;7;157988;5115428;136,00;6
396;AlГґ AlГґ Marciano;34;7;238106;8013065;119,00;6
397;Linha Do Horizonte;34;7;279484;9275929;108,00;6
398;Only A Dream In Rio;34;7;371356;12192989;136,00;6
399;Abrir A Porta;34;7;271960;8991141;140,00;6
400;Alice;34;7;165982;5594341;133,00;6
401;Momentos Que Marcam;34;7;280137;9313740;168,00;6
402;Um Jantar Pra Dois;34;7;237714;7819755;117,00;6
403;Bumbo Da Mangueira;34;7;270158;9073350;153,00;6
404;Mr Funk Samba;34;7;213890;7102545;151,00;6
405;Santo Antonio;34;7;162716;5492069;181,00;6
406;Por VocГЄ;34;7;205557;6792493;102,00;6
407;SГі Tinha De Ser Com VocГЄ;34;7;389642;13085596;127,00;6
408;Free Speech For The Dumb;35;3;155428;5076048;114,00;50
409;It's Electric;35;3;213995;6978601;123,00;50
410;Sabbra Cadabra;35;3;380342;12418147;134,00;50
411;Turn The Page;35;3;366524;11946327;183,00;50
412;Die Die My Darling;35;3;149315;4867667;190,00;50
413;Loverman;35;3;472764;15446975;99,00;50
414;Mercyful Fate;35;3;671712;21942829;116,00;50
415;Astronomy;35;3;397531;13065612;170,00;50
416;Whiskey In The Jar;35;3;305005;9943129;153,00;50
417;Tuesday's Gone;35;3;545750;17900787;74,00;50
418;The More I See;35;3;287973;9378873;58,00;50
419;A Kind Of Magic;36;1;262608;8689618;194,00;51
420;Under Pressure;36;1;236617;7739042;77,00;51
421;Radio GA GA;36;1;343745;11358573;91,00;51
422;I Want It All;36;1;241684;7876564;89,00;51
423;I Want To Break Free;36;1;259108;8552861;80,00;51
424;Innuendo;36;1;387761;12664591;91,00;51
425;It's A Hard Life;36;1;249417;8112242;96,00;51
426;Breakthru;36;1;249234;8150479;166,00;51
427;Who Wants To Live Forever;36;1;297691;9577577;153,00;51
428;Headlong;36;1;273057;8921404;86,00;51
429;The Miracle;36;1;294974;9671923;101,00;51
430;I'm Going Slightly Mad;36;1;248032;8192339;154,00;51
431;The Invisible Man;36;1;238994;7920353;50,00;51
432;Hammer To Fall;36;1;220316;7255404;176,00;51
433;Friends Will Be Friends;36;1;248920;8114582;155,00;51
434;The Show Must Go On;36;1;263784;8526760;154,00;51
435;One Vision;36;1;242599;7936928;100,00;51
436;Detroit Rock City;37;1;218880;7146372;82,00;52
437;Black Diamond;37;1;314148;10266007;96,00;52
438;Hard Luck Woman;37;1;216032;7109267;67,00;52
439;Sure Know Something;37;1;242468;7939886;180,00;52
440;Love Gun;37;1;196257;6424915;146,00;52
441;Deuce;37;1;185077;6097210;66,00;52
442;Goin' Blind;37;1;216215;7045314;189,00;52
443;Shock Me;37;1;227291;7529336;74,00;52
444;Do You Love Me;37;1;214987;6976194;112,00;52
445;She;37;1;248346;8229734;200,00;52
446;I Was Made For Loving You;37;1;271360;9018078;113,00;52
447;Shout It Out Loud;37;1;219742;7194424;198,00;52
448;God Of Thunder;37;1;255791;8309077;95,00;52
449;Calling Dr. Love;37;1;225332;7395034;175,00;52
450;Beth;37;1;166974;5360574;68,00;52
451;Strutter;37;1;192496;6317021;137,00;52
452;Rock And Roll All Nite;37;1;173609;5735902;121,00;52
453;Cold Gin;37;1;262243;8609783;187,00;52
454;Plaster Caster;37;1;207333;6801116;91,00;52
455;God Gave Rock 'n' Roll To You;37;1;320444;10441590;89,00;52
456;Heart of the Night;38;2;273737;9098263;134,00;53
457;De La Luz;38;2;315219;10518284;96,00;53
458;Westwood Moon;38;2;295627;9765802;112,00;53
459;Midnight;38;2;266866;8851060;155,00;53
460;Playtime;38;2;273580;9070880;118,00;53
461;Surrender;38;2;287634;9422926;123,00;53
462;Valentino's;38;2;296124;9848545;176,00;53
463;Believe;38;2;310778;10317185;120,00;53
464;As We Sleep;38;2;316865;10429398;195,00;53
465;When Evening Falls;38;2;298135;9863942;73,00;53
466;J Squared;38;2;288757;9480777;127,00;53
467;Best Thing;38;2;274259;9069394;155,00;53
468;Maria;39;4;167262;5484747;178,00;54
469;Poprocks And Coke;39;4;158354;5243078;109,00;54
470;Longview;39;4;234083;7714939;152,00;54
471;Welcome To Paradise;39;4;224208;7406008;97,00;54
472;Basket Case;39;4;181629;5951736;51,00;54
473;When I Come Around;39;4;178364;5839426;110,00;54
474;She;39;4;134164;4425128;150,00;54
475;J.A.R. (Jason Andrew Relva);39;4;170997;5645755;111,00;54
476;Geek Stink Breath;39;4;135888;4408983;193,00;54
477;Brain Stew;39;4;193149;6305550;89,00;54
478;Jaded;39;4;90331;2950224;107,00;54
479;Walking Contradiction;39;4;151170;4932366;168,00;54
480;Stuck With Me;39;4;135523;4431357;58,00;54
481;Hitchin' A Ride;39;4;171546;5616891;69,00;54
482;Good Riddance (Time Of Your Life);39;4;153600;5075241;51,00;54
483;Redundant;39;4;198164;6481753;127,00;54
484;Nice Guys Finish Last;39;4;170187;5604618;159,00;54
485;Minority;39;4;168803;5535061;69,00;54
486;Warning;39;4;221910;7343176;101,00;54
487;Waiting;39;4;192757;6316430;199,00;54
488;Macy's Day Parade;39;4;213420;7075573;135,00;54
